Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
90,1.5,With Helmet,0.01,"(595,39,688,119)"
91,1.52,With Helmet,0.02,"(594,157,695,250)"
91,1.52,With Helmet,0.01,"(247,61,337,142)"
91,1.52,With Helmet,0.01,"(400,116,490,204)"
91,1.52,With Helmet,0.01,"(596,38,690,117)"
91,1.52,No Helmet,0.01,"(424,108,488,200)"
92,1.53,With Helmet,0.01,"(592,157,695,252)"
92,1.53,With Helmet,0.01,"(237,60,335,142)"
92,1.53,With Helmet,0.01,"(397,116,490,204)"
92,1.53,No Helmet,0.01,"(424,108,488,200)"
93,1.55,With Helmet,0.01,"(237,58,335,141)"
93,1.55,With Helmet,0.01,"(589,158,694,252)"
93,1.55,With Helmet,0.01,"(396,115,490,204)"
93,1.55,No Helmet,0.01,"(434,108,488,199)"
94,1.57,With Helmet,0.01,"(236,58,334,141)"
94,1.57,With Helmet,0.01,"(584,158,692,254)"
94,1.57,With Helmet,0.01,"(395,115,490,204)"
94,1.57,No Helmet,0.01,"(431,107,488,199)"
95,1.58,With Helmet,0.01,"(235,57,332,139)"
95,1.58,With Helmet,0.01,"(573,157,675,255)"
95,1.58,With Helmet,0.01,"(396,115,490,204)"
95,1.58,No Helmet,0.01,"(429,106,488,199)"
96,1.6,With Helmet,0.01,"(234,54,331,138)"
96,1.6,With Helmet,0.01,"(572,157,673,254)"
96,1.6,With Helmet,0.01,"(394,114,490,204)"
96,1.6,With Helmet,0.01,"(416,117,489,199)"
96,1.6,No Helmet,0.01,"(426,106,488,199)"
97,1.62,With Helmet,0.01,"(234,52,329,136)"
97,1.62,With Helmet,0.01,"(414,116,489,197)"
97,1.62,With Helmet,0.01,"(570,159,671,252)"
97,1.62,With Helmet,0.01,"(393,113,490,203)"
98,1.63,With Helmet,0.01,"(413,115,490,197)"
98,1.63,With Helmet,0.01,"(235,53,325,132)"
98,1.63,With Helmet,0.01,"(393,112,491,203)"
98,1.63,With Helmet,0.01,"(564,156,669,254)"
99,1.65,With Helmet,0.01,"(560,156,668,255)"
99,1.65,With Helmet,0.01,"(235,52,320,132)"
99,1.65,With Helmet,0.01,"(413,114,490,195)"
100,1.67,With Helmet,0.01,"(234,51,318,131)"
100,1.67,With Helmet,0.01,"(550,158,653,258)"
100,1.67,With Helmet,0.01,"(413,113,491,195)"
101,1.69,With Helmet,0.01,"(233,50,315,131)"
101,1.69,With Helmet,0.01,"(549,157,650,259)"
101,1.69,With Helmet,0.01,"(413,112,490,194)"
101,1.69,No Helmet,0.01,"(215,50,314,149)"
102,1.7,With Helmet,0.01,"(546,158,649,260)"
102,1.7,With Helmet,0.01,"(230,48,315,130)"
102,1.7,With Helmet,0.01,"(412,112,490,194)"
102,1.7,No Helmet,0.01,"(208,49,313,149)"
103,1.72,With Helmet,0.01,"(541,161,649,261)"
103,1.72,With Helmet,0.01,"(411,111,490,194)"
103,1.72,No Helmet,0.01,"(200,48,314,149)"
104,1.74,With Helmet,0.01,"(410,111,490,194)"
104,1.74,With Helmet,0.01,"(527,162,630,261)"
104,1.74,No Helmet,0.01,"(197,47,314,148)"
104,1.74,With Helmet,0.01,"(213,46,315,137)"
105,1.75,With Helmet,0.01,"(408,111,489,195)"
105,1.75,With Helmet,0.01,"(523,164,627,265)"
105,1.75,No Helmet,0.01,"(195,47,313,147)"
106,1.77,With Helmet,0.01,"(517,165,624,268)"
106,1.77,With Helmet,0.01,"(408,111,490,193)"
106,1.77,No Helmet,0.01,"(193,46,312,146)"
106,1.77,With Helmet,0.01,"(640,17,735,101)"
106,1.77,With Helmet,0.01,"(213,43,308,128)"
106,1.77,With Helmet,0.01,"(391,107,491,201)"
107,1.79,With Helmet,0.01,"(506,167,616,276)"
107,1.79,With Helmet,0.01,"(408,113,487,194)"
107,1.79,No Helmet,0.01,"(193,46,311,146)"
107,1.79,With Helmet,0.01,"(640,16,737,100)"
107,1.79,With Helmet,0.01,"(390,107,491,202)"
108,1.8,No Helmet,0.01,"(193,46,311,145)"
108,1.8,With Helmet,0.01,"(502,171,606,278)"
108,1.8,With Helmet,0.01,"(408,114,487,196)"
108,1.8,With Helmet,0.01,"(390,109,490,203)"
108,1.8,With Helmet,0.01,"(641,16,738,98)"
109,1.82,With Helmet,0.01,"(501,177,602,269)"
109,1.82,No Helmet,0.01,"(192,48,311,146)"
109,1.82,With Helmet,0.01,"(404,114,485,194)"
109,1.82,With Helmet,0.01,"(642,16,740,98)"
110,1.84,With Helmet,0.01,"(487,177,602,282)"
110,1.84,No Helmet,0.01,"(193,48,311,146)"
110,1.84,With Helmet,0.01,"(405,114,484,191)"
110,1.84,With Helmet,0.01,"(643,16,742,98)"
111,1.85,With Helmet,0.01,"(479,180,583,281)"
111,1.85,No Helmet,0.01,"(192,48,307,145)"
111,1.85,With Helmet,0.01,"(393,107,484,191)"
111,1.85,With Helmet,0.01,"(647,15,743,97)"
112,1.87,No Helmet,0.01,"(192,47,304,146)"
112,1.87,With Helmet,0.01,"(470,183,582,287)"
112,1.87,With Helmet,0.01,"(393,107,486,192)"
113,1.89,With Helmet,0.01,"(460,189,582,298)"
113,1.89,No Helmet,0.01,"(192,47,293,147)"
113,1.89,With Helmet,0.01,"(392,108,487,193)"
114,1.9,With Helmet,0.01,"(458,189,559,287)"
114,1.9,With Helmet,0.01,"(391,108,478,193)"
114,1.9,No Helmet,0.01,"(191,48,272,148)"
114,1.9,No Helmet,0.01,"(181,48,309,150)"
114,1.9,No Helmet,0.01,"(406,102,488,195)"
115,1.92,With Helmet,0.01,"(442,193,557,302)"
115,1.92,With Helmet,0.01,"(391,108,477,195)"
115,1.92,No Helmet,0.01,"(179,48,280,148)"
115,1.92,With Helmet,0.01,"(189,45,286,131)"
115,1.92,With Helmet,0.01,"(661,14,753,94)"
115,1.92,No Helmet,0.01,"(402,103,489,195)"
116,1.94,With Helmet,0.01,"(433,195,538,303)"
116,1.94,With Helmet,0.01,"(390,108,472,196)"
116,1.94,No Helmet,0.01,"(177,48,274,149)"
116,1.94,With Helmet,0.01,"(661,14,754,94)"
117,1.95,With Helmet,0.01,"(388,110,469,197)"
117,1.95,With Helmet,0.01,"(420,197,535,307)"
117,1.95,No Helmet,0.01,"(171,47,272,148)"
117,1.95,With Helmet,0.01,"(662,13,755,94)"
118,1.97,With Helmet,0.01,"(389,111,468,198)"
118,1.97,With Helmet,0.01,"(417,199,531,309)"
118,1.97,No Helmet,0.01,"(161,45,271,147)"
118,1.97,With Helmet,0.01,"(662,13,757,94)"
119,1.99,With Helmet,0.01,"(388,113,468,199)"
119,1.99,No Helmet,0.01,"(148,45,270,148)"
119,1.99,With Helmet,0.01,"(662,12,759,94)"
119,1.99,With Helmet,0.01,"(400,203,514,310)"
120,2.0,With Helmet,0.01,"(387,112,468,199)"
120,2.0,With Helmet,0.01,"(386,210,500,319)"
120,2.0,No Helmet,0.01,"(147,44,270,147)"
120,2.0,With Helmet,0.01,"(662,12,760,94)"
120,2.0,With Helmet,0.01,"(166,44,268,131)"
121,2.02,With Helmet,0.01,"(380,212,493,311)"
121,2.02,With Helmet,0.01,"(387,113,468,198)"
121,2.02,No Helmet,0.01,"(148,47,270,146)"
121,2.02,With Helmet,0.01,"(662,13,761,95)"
121,2.02,With Helmet,0.01,"(163,45,266,132)"
122,2.04,With Helmet,0.01,"(367,215,485,324)"
122,2.04,No Helmet,0.01,"(147,48,269,147)"
122,2.04,With Helmet,0.01,"(383,113,467,199)"
122,2.04,With Helmet,0.01,"(663,13,762,95)"
122,2.04,With Helmet,0.01,"(160,45,264,132)"
